2026-01-07T21:45:36.193023600 | User: alice | Action: LOGIN_FAILED
2026-01-07T21:45:40.644343800 | User: alice | Action: LOGIN_FAILED
2026-01-07T21:45:43.658491500 | User: alice | Action: LOGIN_FAILED
2026-01-07T21:45:46.506903600 | User: alice | Action: LOGIN_FAILED
2026-01-07T21:45:50.564828400 | User: alice | Action: LOGIN_FAILED
2026-01-07T21:45:54.797351800 | User: alice | Action: LOGIN_FAILED
2026-01-07T21:45:59.225685900 | User: alice | Action: LOGIN_FAILED
2026-01-07T21:46:03.561808100 | User: alice | Action: LOGIN_FAILED
2026-01-07T21:53:53.091260800 | User: alice | Action: LOGIN_SUCCESS
2026-01-07T21:53:56.944897600 | User: alice | Action: LOGOUT
2026-01-07T21:54:19.164367400 | User: alice | Action: LOGIN_SUCCESS
2026-01-07T21:54:21.737475700 | User: alice | Action: LOGOUT
2026-01-07T21:55:46.446031800 | User: alice | Action: LOGIN_SUCCESS
2026-01-07T21:55:50.926428200 | User: alice | Action: LOGOUT
2026-01-07T21:57:31.851735100 | User: alice | Action: LOGIN_SUCCESS
2026-01-07T21:57:37.868873100 | User: alice | Action: LOGOUT
2026-01-07T21:59:28.190838200 | User: alice | Action: LOGIN_SUCCESS
2026-01-07T21:59:36.136599 | User: alice | Action: LOGOUT
2026-01-07T22:01:03.351154400 | User: alice | Action: LOGIN_SUCCESS
2026-01-07T22:01:06.593872 | User: alice | Action: LOGOUT
2026-01-07T22:01:16.658478800 | User: alice | Action: LOGIN_FAILED
2026-01-07T22:02:47.960245100 | User: alice | Action: LOGIN_SUCCESS
2026-01-07T22:02:51.115097700 | User: alice | Action: LOGOUT
2026-01-07T22:06:31.655818400 | User: bob | Action: LOGIN_SUCCESS
2026-01-07T22:07:56.355537600 | User: bob | Action: LOGIN_SUCCESS
2026-01-07T22:08:02.576243200 | User: bob | Action: LOGOUT
2026-01-07T22:12:39.616794400 | User: bob | Action: LOGIN_SUCCESS
2026-01-07T22:12:45.459491100 | User: bob | Action: LOGOUT
2026-01-07T22:12:53.066237500 | User: bob | Action: LOGIN_SUCCESS
2026-01-07T22:12:58.117592800 | User: bob | Action: LOGOUT
2026-01-07T22:15:31.773156500 | User: bob | Action: REGISTER_SUCCESS
2026-01-07T22:15:53.483607600 | User: bob | Action: LOGIN_SUCCESS
2026-01-07T22:15:59.681031 | User: bob | Action: LOGOUT
2026-01-07T22:17:35.528585500 | User: bob | Action: LOGIN_SUCCESS
2026-01-07T22:17:38.967891300 | User: bob | Action: LOGOUT
2026-01-07T22:18:29.920577900 | User: admin | Action: REGISTER_SUCCESS
2026-01-07T22:18:34.072795800 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:19:36.085849100 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:20:29.376618500 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:20:49.415152100 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:21:52.857808300 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:24:36.458363900 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:24:39.131748100 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:25:07.566096700 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:25:12.013935100 | User: admin | Action: LOGIN_SUCCESS
2026-01-07T22:25:14.581042600 | User: admin | Action: LOGOUT
2026-01-07T22:35:23.109323100 | User: alice | Action: REGISTER_SUCCESS
2026-01-07T22:35:51.326012600 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:37:48.405496300 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:38:08.915447 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:38:57.088469 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:42:23.016685700 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:49:05.605030600 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:56:50.964172800 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:56:55.304238400 | User: admin | Action: LOGIN_FAILED
2026-01-07T22:57:40.150836700 | User: admin | Action: LOGIN_FAILED
2026-01-08T11:13:39.275856600 | User: admin | Action: LOGIN_SUCCESS
2026-01-08T11:13:47.590197900 | User: admin | Action: LOGOUT
2026-01-08T11:14:03.839402200 | User: admin | Action: LOGIN_FAILED
2026-01-08T11:14:41.046047900 | User: alice | Action: LOGIN_SUCCESS
2026-01-08T11:15:08.622759500 | User: alice | Action: FILE_ENCRYPTED_AND_DELETED: dummy.txt
2026-01-08T11:15:55.858971600 | User: alice | Action: FILE_DECRYPTED: dummy.txt.enc
2026-01-08T12:40:12.836867300 | User: alice | Action: LOGIN_SUCCESS
2026-01-08T12:40:27.424066200 | User: alice | Action: FILE_ENCRYPTED_AND_DELETED: dummy.txt
2026-01-08T12:40:33.350523400 | User: alice | Action: FILE_ENCRYPTED_AND_DELETED: dummy.txt.enc
2026-01-08T12:40:43.854958900 | User: alice | Action: FILE_DECRYPTED: dummy.txt.enc.enc
2026-01-08T12:41:00.330338300 | User: alice | Action: FILE_DECRYPTED: dummy.txt.enc.enc
2026-01-08T12:41:17.317667400 | User: alice | Action: FILE_DECRYPTED: dummy..enc
